"filename","font_name","details"
"Jorhand-Crown-DEMO-VERSION-BF695c6a8a975d6.otf","Jorhand Crown DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"JunkiesStyleRegular-d90lg.ttf","Junkies Style Regular","Copyright (c) 2020 by . All rights reserved. | https://www.creatypestudio.co/license | Rian Rahardi"
"KalviseBrushy.ttf","Kalvise Brushy","Kotak Kuning Studio"
"Knight Brush Demo.otf","Knight Brush Demo","Copyright (c) 2017 by Hendra Pratama. All rights reserved. | Hendra Pratama"
"Lillybonie Regular.ttf","Lillybonie","Jimtype Studio Designer | https://jimtypestudio.com/license | https://jimtypestudio.com/license | Jimtype Studio"
"Maler.ttf","Maler Regular","MIR"
"MammutCAT.ttf","Mammut CAT","Copyright (c) 2015 by . All rights reserved. | GPL- General Public License AND OFL-Open Font License | http://www.fsf.org/licenses/gpl.html AND http://scripts.sil.org/OFL | Peter Wiegel"
"MandoulBrushPERSONALUSEONLY-Regular.otf","Mandoul Brush PERSONAL USE ONLY Regular","Please visit www.mansgreback.com to obtain a commercial license for {{familyName}}. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback & Subectype"
"Manhattan Brush.ttf","Manhattan Brush","This font was created using FontCreator 11.5 from High-Logic.com | Farhan T. Sudibya"
"Mansions Brush Script.ttf","Mansions Brush Script","Copyright (c) 2018 by JoelMaker. All rights reserved. | JoelMaker"
"Mileka-BF695dec2374362.otf","Mileka Regular","Copyright © 2026 by Lettermine Studio. All rights reserved. | www.lwttermine.com/lisence | Lettermine"
"MilestoneBrush.otf","Milestone Brush","Personal Use Only | Aveni Yuanita"
"Milion-State-DEMO-VERSION-BF693a439ade77b.otf","Milion State DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"MondayHandbrush-6YMdA.otf","Monday Handbrush","This font was created using FontCreator 12.0 from High-Logic.com | www.subectype.com | Rangga Singgih Subekti"
"Morgen.otf","Morgen","Copyright (c) 2021 by Vultype Co. All rights reserved. | Candra Hamdani"
"NetworkFreeVersion.ttf","Network Free Version","Copyright (c) 2019 by Yasir Ekinci. All rights reserved. | https://creativemarket.com/licenses | Yasir Ekinci"
"Night-Journey-BF67d451a915d0f.otf","Night Journey",""
"OmedBrushRegular-gx1e3.ttf","Omed Brush Regular","just for personal use | www.alitdesign.net/license | Ny Indrayana"
"Post.otf","Post","guaschetti.com | Apache License, Version 2.0. | http://www.apache.org/licenses/LICENSE-2.0 | @guaschetti"
"Pouities.ttf","Pouities","This font was created using FontCreator 13.0 from High-Logic.com | Rizki Akbari Utama"
"Radiant Brush (Demo_Font).otf","Radiant Brush","Created using FontCreator 11 from High-Logic.com | Riyadh Rahman"
"Rangdak-Morattes-DEMO-VERSION-BF688434fe07909.otf","Rangdak Morattes DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"RockbetterRegular-YzgEO.ttf","Rock Better Regular","Copyright (c) 2021 by . All rights reserved."
"Rockesta Brush.otf","Rockesta Brush","This font was created using FontCreator 13.0 from High-Logic.com | ©Letternity 2021. All Rights Reserved | letternitystudio@gmail.com | Letternity"
"RollingBrush-Regular.otf","Rolling Brush","Din Studio Type Foundry | By installing or using this font you agree to the Product Usage Agreement:

- This font only personal use.
- For commercial use please visit License URL.
- This font has been protected by law. 
- All forms of copyright infringement will be penalized | www.ditatype.com | Donis Miftahudin"
"Saturday-Catalan-DEMO-VERSION-BF696b29bb27670.otf","Saturday Catalan DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"ScandinaviaBrush_PERSONAL_USE_ONLY.otf","Scandinavia Brush PERSONAL Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"Slabor Brush.otf","Slabor Brush","Copyright (c) 2020 by thirtypath. All rights reserved. | thirtypath"
"Slabor Brush.ttf","Slabor Brush","Copyright (c) 2020 by thirtypath. All rights reserved. | thirtypath"
"Slightly Marker DEMO.otf","Slightly Marker DEMO","Sarid Ezra"
"Static-Kingston-DEMO-VERSION-BF695cae7ea0b78.otf","Static Kingston DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©StylishType.co. All Rights Reserved | https://StylishType.co/ | Heru Utama Putra"
"Straight-Pathart-BF6787299033886.ttf","Straight Pathart","This font was created using FontCreator 13.0 from High-Logic.com | ©StylishType.co. All Rights Reserved | https://StylishType.co/ | Heru Utama Putra"
"Tuwir.ttf","Tuwir","Copyright (c) 2022 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | Khurasan"
"UnderlinesDemoRegular.ttf","Underlines Demo","Made with love in Indonesia - 2020 | PERSONAL License - Non Commercial | https://www.NihStudio.com/license Email : hello@nihstudio.com | Widiyanti & Suci Anita"
"WaveBlock-rvJvL.otf","WAVE BLOCK","Created using FontCreator 11 from High-Logic.com | Riyadh Rahman"
"Webrush Demo.ttf","Webrush","Copyright (c) 2019 by Garisman Studio. All rights reserved. | Risman Ginarwan"
"Yakin.otf","Yakin","Copyright (c) 2023 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"Zingakon.ttf","Zingakon","This font was created using FontCreator 11.5 from High-Logic.com"
"Zombie Brush.otf","Zombie Brush Personal Use","Din Studio Type Foundry | By installing or using this font you agree to the Product Usage Agreement:

- This font only personal use.
- For commercial use please visit License URL.
- This font has been protected by law. 
- All forms of copyright infringement will be penalized | www.ditatype.com | Donis Miftahudin"
"alpha-brights.otf","Alpha Brights","This font was created using FontCreator 11.5 from High-Logic.com | Typeline Studio 2020"
"badlookingbrush-jeao0.otf","Badlooking_Brush",""
"banbos-vgmay.ttf","Banbos","This font was created using FontCreator 11.5 from High-Logic.com | Vava Aryanto"
"brighterbrush-8oxpj.ttf","Brighter Brush","www.blankidsfonts.com | www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"brotherhod-k7mnd.otf","Brotherhod","Rometheme Studio | Commercial License | www.rometheme.net | Rometheme Studio"
"brothership.ttf","Brothership Regular","Ahmad Ramzi Fahruddin"
"brushsinergi-g3vxd.otf","Brush Sinergi","www.nirmanavisual.com | www.nirmanavisual.com | Sigit Dwipa"
"fedattonaitalic-x3vdz.otf","Fedattona Italic","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios 2021. All Rights Reserved | letterena.com | Heru Utama Putra"
"houseofhandsregular-e95e6.ttf","House Of Hands Regular","just for personal use | www.alitdesign.net/license | Ny Indrayana"
"kirens demo.ttf","Kirens Brush DEMO Regular","www.limitype.com | -  Muhammad Muammar
-  Randi ilhamsyah"
"shadowbrush.otf","Shadow Brush","Free For Personal Use | JunCreative (Muhamad Junaid) @mjart96"
"shortwaves-free.ttf","Shortwaves Free Regular","Copyright (c) 2021 by MaulanaCreative. All rights reserved. | MaulanaCreative"
"tenstars.ttf","Tenstars","Copyright (c) 2021 by MaulanaCreative. All rights reserved. | MaulanaCreative"
